niño1,niño2,niña3,niña4,niña5,niño6,niña7,niña8,niño9,niña10
c,c,c,a,c,a,c,c,b,a
c,a,c,c,c,a,c,c,c,c
c,e,e,e,c,e,e,c,a,e
c,d,c,e,e,d,e,e,b,e
a,c,c,d,d,c,d,a,a,d
c,c,c,b,e,b,a,c,c,e
c,b,c,e,c,e,b,d,d,a
c,d,c,a,a,a,b,d,c,a
d,e,e,e,e,e,d,b,a,e
d,b,b,d,c,e,e,c,d,c
c,c,c,d,c,b,c,c,c,c
c,c,c,c,c,a,a,c,c,c
c,c,e,e,e,e,d,d,c,e
c,a,a,e,e,e,b,b,d,e
a,e,e,e,e,e,a,c,a,e
c,b,a,e,e,e,a,d,b,e
a,c,d,e,e,e,d,d,a,e
e,b,c,d,d,e,a,a,e,e
c,d,a,b,d,d,e,e,c,d
c,c,c,e,b,e,a,e,c,e
c,c,c,e,c,e,e,c,c,e
b,a,c,d,d,d,c,d,b,d
c,d,e,e,e,e,e,e,c,e
a,a,e,e,e,e,c,e,a,c
b,d,d,e,e,e,e,c,d,e
c,c,a,c,c,c,e,e,c,e
c,a,a,e,e,d,d,d,c,d
